GCF_024198175.1_ASM2419817v1	Pyxidicoccus_xibeiensis_QH1ED71
GCF_000737325.1_ASM73732v2	Sandaracinus_amylolyticus_DSM53668
GCF_021631985.1_ASM2163198v1	Sandaracinus_amylolyticus_MSr10575
GCF_000418325.1_ASM41832v1	Sorangium_cellulosum_So01572
GCF_002950945.1_ASM295094v1	Sorangium_cellulosum_Soce26
GCF_000067165.1_ASM6716v1	Sorangium_cellulosum_Soce56
GCF_004135755.1_ASM413575v1	Sorangium_cellulosum_Soce836
GCF_004135735.1_ASM413573v1	Sorangium_cellulosum_SoceGT47
GCF_000165485.1_ASM16548v1	Stigmatella_aurantiaca_DW431
GCF_900111745.1_IMG-taxon_2693429888_annotated_assembly	Stigmatella_erecta_DSM16858
GCF_020103775.1_ASM2010377v1	Stigmatella_hybrida_DSM14722
GCF_001263175.1_ASM126317v1	Vulgatibacter_incomptus_DSM27710
